Date,Station Id,Station Name,Elevation (ft),Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF)
Jan-01,907,Agua Canyon,8900,8.2,2.4,12,,,
Feb-01,907,Agua Canyon,8900,12.1,6.7,32,,,
Mar-01,907,Agua Canyon,8900,15.2,10.7,41,,,
Apr-01,907,Agua Canyon,8900,17.1,9,22,,,
May-01,907,Agua Canyon,8900,19.8,0,0,,,
Jun-01,907,Agua Canyon,8900,20.5,0,0,,,
Jul-01,907,Agua Canyon,8900,21,0,0,,,
Aug-01,907,Agua Canyon,8900,23,0,0,,,
Sep-01,907,Agua Canyon,8900,25.5,0,0,,,
Oct-01,907,Agua Canyon,8900,0,0,0,,,
Nov-01,907,Agua Canyon,8900,0.6,0,0,,,
Dec-01,907,Agua Canyon,8900,2,1,6,,,
Jan-02,907,Agua Canyon,8900,3.1,1.8,11,,,
Feb-02,907,Agua Canyon,8900,3.8,2.4,14,,,
Mar-02,907,Agua Canyon,8900,4.1,2.5,9,,,
Apr-02,907,Agua Canyon,8900,5.4,0,0,,,
May-02,907,Agua Canyon,8900,6.6,0,0,,,
Jun-02,907,Agua Canyon,8900,6.8,0,0,,,
Jul-02,907,Agua Canyon,8900,6.8,0,0,,,
Aug-02,907,Agua Canyon,8900,8.3,0,0,,,
Sep-02,907,Agua Canyon,8900,8.7,0,0,,,
Oct-02,907,Agua Canyon,8900,0,0,0,,,
Nov-02,907,Agua Canyon,8900,2.2,0,0,,,
Dec-02,907,Agua Canyon,8900,3.8,0.2,2,,,
Jan-03,907,Agua Canyon,8900,5.1,1.4,9,,,
Feb-03,907,Agua Canyon,8900,5.4,1.7,5,,,
Mar-03,907,Agua Canyon,8900,7.9,4.6,26,,,
Apr-03,907,Agua Canyon,8900,9.7,2.5,8,,,
May-03,907,Agua Canyon,8900,10.3,0,0,,,
Jun-03,907,Agua Canyon,8900,11.7,0,0,,,
Jul-03,907,Agua Canyon,8900,12.2,0,0,,,
Aug-03,907,Agua Canyon,8900,12.6,0,0,,,
Sep-03,907,Agua Canyon,8900,13.6,0,0,,,
Oct-03,907,Agua Canyon,8900,0,0,0,,,
Nov-03,907,Agua Canyon,8900,0.8,0,0,,,
Dec-03,907,Agua Canyon,8900,2.6,0.4,2,,,
Jan-04,907,Agua Canyon,8900,5.5,4.3,20,,,
Feb-04,907,Agua Canyon,8900,6.3,5.3,23,,,
Mar-04,907,Agua Canyon,8900,11.6,10.9,50,,,
Apr-04,907,Agua Canyon,8900,12.3,2.2,8,,,
May-04,907,Agua Canyon,8900,15.3,0,0,,,
Jun-04,907,Agua Canyon,8900,15.5,0,0,,,
Jul-04,907,Agua Canyon,8900,16,0,0,,,
Aug-04,907,Agua Canyon,8900,20.5,0,0,,,
Sep-04,907,Agua Canyon,8900,21.6,0,0,,,
Oct-04,907,Agua Canyon,8900,0,0,0,,,
Nov-04,907,Agua Canyon,8900,6.1,0.8,4,,,
Dec-04,907,Agua Canyon,8900,13.5,4.4,21,,,
Jan-05,907,Agua Canyon,8900,16.4,7.4,35,,,
Feb-05,907,Agua Canyon,8900,23.9,15.9,57,,,
Mar-05,907,Agua Canyon,8900,27.7,19.9,64,,,
Apr-05,907,Agua Canyon,8900,31,22.4,65,,,
May-05,907,Agua Canyon,8900,32.5,12.8,30,,,
Jun-05,907,Agua Canyon,8900,33.6,0,0,,,
Jul-05,907,Agua Canyon,8900,35.1,0,0,,,
Aug-05,907,Agua Canyon,8900,35.5,0,0,,,
Sep-05,907,Agua Canyon,8900,40,0,0,,,
Oct-05,907,Agua Canyon,8900,0,0,0,,,
Nov-05,907,Agua Canyon,8900,2.4,0,0,,,
Dec-05,907,Agua Canyon,8900,2.6,0,0,,,
Jan-06,907,Agua Canyon,8900,3.9,1.4,7,,,
Feb-06,907,Agua Canyon,8900,5.7,3.5,16,,,
Mar-06,907,Agua Canyon,8900,6.9,4.8,15,,,
Apr-06,907,Agua Canyon,8900,11.3,8.8,28,,,
May-06,907,Agua Canyon,8900,12.3,0,0,,,
Jun-06,907,Agua Canyon,8900,12.6,0,0,,,
Jul-06,907,Agua Canyon,8900,12.6,0,0,,,
Aug-06,907,Agua Canyon,8900,15.4,0,0,61,79,47
Sep-06,907,Agua Canyon,8900,18.2,0,0,51,71,27
Oct-06,907,Agua Canyon,8900,0,0,0,42,67,21
Nov-06,907,Agua Canyon,8900,4.9,0,0,36,66,-1
Dec-06,907,Agua Canyon,8900,5.5,0.5,3,29,53,7
Jan-07,907,Agua Canyon,8900,7.3,2.7,12,25,53,-8
Feb-07,907,Agua Canyon,8900,8,3.8,17,30,54,6
Mar-07,907,Agua Canyon,8900,9.2,5.4,24,38,66,7
Apr-07,907,Agua Canyon,8900,10,0,0,41,70,17
May-07,907,Agua Canyon,8900,11.4,0,0,51,74,22
Jun-07,907,Agua Canyon,8900,11.9,0,0,62,85,29
Jul-07,907,Agua Canyon,8900,11.9,0,0,66,88,51
Aug-07,907,Agua Canyon,8900,13.5,0,0,63,84,47
Sep-07,907,Agua Canyon,8900,16.6,0,0,54,78,26
Oct-07,907,Agua Canyon,8900,0,0,0,44,66,20
Nov-07,907,Agua Canyon,8900,0.8,0,0,40,63,14
Dec-07,907,Agua Canyon,8900,1.7,1.2,10,24,60,1
Jan-08,907,Agua Canyon,8900,4.1,3.8,18,22,45,-4
Feb-08,907,Agua Canyon,8900,9.9,10.6,45,28,56,6
Mar-08,907,Agua Canyon,8900,12.2,13.3,43,33,55,9
Apr-08,907,Agua Canyon,8900,13.4,10.2,27,39,64,15
May-08,907,Agua Canyon,8900,13.7,0,0,45,77,16
Jun-08,907,Agua Canyon,8900,14.2,0,0,59,81,30
Jul-08,907,Agua Canyon,8900,14.7,0,0,64,85,50
Aug-08,907,Agua Canyon,8900,16.7,0,0,63,84,48
Sep-08,907,Agua Canyon,8900,18.4,0,0,56,77,38
Oct-08,907,Agua Canyon,8900,0,0,0,46,70,15
Nov-08,907,Agua Canyon,8900,0.6,0,0,37,60,17
Dec-08,907,Agua Canyon,8900,2.3,0.9,4,27,56,1
Jan-09,907,Agua Canyon,8900,7,7.2,27,31,54,4
Feb-09,907,Agua Canyon,8900,7.9,7.2,22,29,52,10
Mar-09,907,Agua Canyon,8900,10.4,9.1,27,34,58,8
Apr-09,907,Agua Canyon,8900,11.8,0,0,38,67,14
May-09,907,Agua Canyon,8900,13.2,0,0,53,77,36
Jun-09,907,Agua Canyon,8900,14.3,0,0,54,78,34
Jul-09,907,Agua Canyon,8900,15.2,0,0,65,87,49
Aug-09,907,Agua Canyon,8900,16.4,0,0,62,80,45
Sep-09,907,Agua Canyon,8900,16.8,0,0,56,76,26
Oct-09,907,Agua Canyon,8900,0,0,0,40,66,13
Nov-09,907,Agua Canyon,8900,0.2,0,0,38,63,9
Dec-09,907,Agua Canyon,8900,0.9,0.3,3,24,49,2
Jan-10,907,Agua Canyon,8900,4.4,4.6,21,29,49,12
Feb-10,907,Agua Canyon,8900,9.7,10.7,45,27,44,8
Mar-10,907,Agua Canyon,8900,11.8,12.5,43,31,54,12
Apr-10,907,Agua Canyon,8900,14.7,13.8,39,37,61,12
May-10,907,Agua Canyon,8900,15.9,0.2,1,43,67,22
Jun-10,907,Agua Canyon,8900,17,0,0,59,82,35
Jul-10,907,Agua Canyon,8900,17.5,0,0,64,84,48
Aug-10,907,Agua Canyon,8900,21.9,0,0,60,79,42
Sep-10,907,Agua Canyon,8900,23.7,0,0,59,78,37
Oct-10,907,Agua Canyon,8900,0,0,0,44,75,18
Nov-10,907,Agua Canyon,8900,5.1,0,0,31,62,1
Dec-10,907,Agua Canyon,8900,6.8,1.7,9,31,57,-5
Jan-11,907,Agua Canyon,8900,14.3,9.5,40,29,52,-5
Feb-11,907,Agua Canyon,8900,14.3,9.5,31,25,55,-11
Mar-11,907,Agua Canyon,8900,18.3,13.9,55,34,54,12
Apr-11,907,Agua Canyon,8900,20,14.3,38,37,65,15
May-11,907,Agua Canyon,8900,22.5,0.1,1,44,67,18
Jun-11,907,Agua Canyon,8900,24.4,0,0,57,79,33
Jul-11,907,Agua Canyon,8900,25.1,0,0,62,83,48
Aug-11,907,Agua Canyon,8900,27.3,0,0,64,83,49
Sep-11,907,Agua Canyon,8900,28.8,0,0,56,75,41
Oct-11,907,Agua Canyon,8900,0,0,0,45,69,20
Nov-11,907,Agua Canyon,8900,1.7,0,0,33,56,15
Dec-11,907,Agua Canyon,8900,2.6,0,0,27,52,4
Jan-12,907,Agua Canyon,8900,5.1,2.9,13,32,55,13
Feb-12,907,Agua Canyon,8900,6.2,4.2,19,27,51,10
Mar-12,907,Agua Canyon,8900,7.7,6.1,27,36,60,7
Apr-12,907,Agua Canyon,8900,9.1,0,0,42,70,17
May-12,907,Agua Canyon,8900,10,0,0,52,74,31
Jun-12,907,Agua Canyon,8900,10,0,0,62,82,33
Jul-12,907,Agua Canyon,8900,10,0,0,62,80,48
Aug-12,907,Agua Canyon,8900,12.5,0,0,61,80,49
Sep-12,907,Agua Canyon,8900,15.6,0,0,56,74,40
Oct-12,907,Agua Canyon,8900,0,0,0,47,71,19
Nov-12,907,Agua Canyon,8900,1.2,0,0,39,60,9
Dec-12,907,Agua Canyon,8900,2.7,0,0,26,52,4
Jan-13,907,Agua Canyon,8900,5.3,3.9,17,25,53,-9
Feb-13,907,Agua Canyon,8900,6.5,5.6,21,26,54,6
Mar-13,907,Agua Canyon,8900,7.2,6.1,23,37,64,9
Apr-13,907,Agua Canyon,8900,8.6,1.5,4,40,70,15
May-13,907,Agua Canyon,8900,9.5,0,0,48,72,22
Jun-13,907,Agua Canyon,8900,10.3,0,0,63,88,43
Jul-13,907,Agua Canyon,8900,10.6,0,0,63,86,46
Aug-13,907,Agua Canyon,8900,15,0,0,60,78,47
Sep-13,907,Agua Canyon,8900,18.8,0,0,53,74,27
Oct-13,907,Agua Canyon,8900,0,0,0,40,63,22
Nov-13,907,Agua Canyon,8900,1.9,0.9,3,36,55,15
Dec-13,907,Agua Canyon,8900,6.2,4.1,16,28,53,-5
Jan-14,907,Agua Canyon,8900,7,4.7,19,33,50,13
Feb-14,907,Agua Canyon,8900,7.6,5.1,26,33,54,8
Mar-14,907,Agua Canyon,8900,8.7,4.2,13,35,56,14
Apr-14,907,Agua Canyon,8900,9.6,0,0,40,65,20
May-14,907,Agua Canyon,8900,10.1,0,0,49,75,24
Jun-14,907,Agua Canyon,8900,11,0,0,60,82,34
Jul-14,907,Agua Canyon,8900,11,0,0,64,83,49
Aug-14,907,Agua Canyon,8900,13.1,0,0,58,78,39
Sep-14,907,Agua Canyon,8900,17.3,0,0,56,74,35
Oct-14,907,Agua Canyon,8900,0,0,0,49,67,30
Nov-14,907,Agua Canyon,8900,0.5,0,0,37,61,5
Dec-14,907,Agua Canyon,8900,1.2,0,0,28,49,4
Jan-15,907,Agua Canyon,8900,3.4,2.1,20,33,55,10
Feb-15,907,Agua Canyon,8900,5.7,4.5,19,36,57,18
Mar-15,907,Agua Canyon,8900,8.1,6.4,29,40,64,10
Apr-15,907,Agua Canyon,8900,10.6,1.8,5,40,65,16
May-15,907,Agua Canyon,8900,11.7,0,0,44,73,27
Jun-15,907,Agua Canyon,8900,14.2,0,0,61,84,41
Jul-15,907,Agua Canyon,8900,15.5,0,0,60,82,45
Aug-15,907,Agua Canyon,8900,19.7,0,0,61,80,48
Sep-15,907,Agua Canyon,8900,22.5,0,0,58,77,41
Oct-15,907,Agua Canyon,8900,0,0,0,47,70,29
Nov-15,907,Agua Canyon,8900,3.8,0,0,31,60,9
Dec-15,907,Agua Canyon,8900,5.8,1.2,6,26,52,3
Jan-16,907,Agua Canyon,8900,7.5,3.2,14,28,54,10
Feb-16,907,Agua Canyon,8900,10.5,7.1,34,35,61,1
Mar-16,907,Agua Canyon,8900,11,5.5,15,37,58,17
Apr-16,907,Agua Canyon,8900,12.3,0.9,3,40,64,24
May-16,907,Agua Canyon,8900,15.5,0.2,1,46,70,28
Jun-16,907,Agua Canyon,8900,16,0,0,64,87,45
Jul-16,907,Agua Canyon,8900,16.4,0,0,65,84,48
Aug-16,907,Agua Canyon,8900,17.4,0,0,59,78,43
Sep-16,907,Agua Canyon,8900,21.1,0,0,53,74,30
Oct-16,907,Agua Canyon,8900,0,0,0,47,64,30
Nov-16,907,Agua Canyon,8900,0.6,0,0,37,65,10
Dec-16,907,Agua Canyon,8900,2,1.2,7,29,52,0
Jan-17,907,Agua Canyon,8900,4.5,4,17,26,54,1
Feb-17,907,Agua Canyon,8900,9.3,9.7,37,32,55,8
Mar-17,907,Agua Canyon,8900,12,11.6,35,40,63,8
Apr-17,907,Agua Canyon,8900,13.6,2.2,8,40,61,20
May-17,907,Agua Canyon,8900,14.9,0,0,48,70,20
Jun-17,907,Agua Canyon,8900,15.9,0,0,63,85,38
Jul-17,907,Agua Canyon,8900,16,0,0,64,84,51
Aug-17,907,Agua Canyon,8900,18.6,0,0,62,80,48
Sep-17,907,Agua Canyon,8900,20.2,0,0,53,81,28
Oct-17,907,Agua Canyon,8900,0,0,0,46,69,24
Nov-17,907,Agua Canyon,8900,0.2,0,0,42,63,15
Dec-17,907,Agua Canyon,8900,0.4,0,0,35,57,9
Jan-18,907,Agua Canyon,8900,0.8,0,0,34,56,9
Feb-18,907,Agua Canyon,8900,2.1,1.3,5,29,54,0
Mar-18,907,Agua Canyon,8900,3.4,1.6,8,32,54,11
Nov-10,992,Bear River RS,8777,3.9,1.2,6,27,,
Dec-10,992,Bear River RS,8777,7.4,3.3,19,27,,
Jan-11,992,Bear River RS,8777,12.3,8,38,,,
Feb-11,992,Bear River RS,8777,14.2,9.8,43,23,,
Mar-11,992,Bear River RS,8777,16.9,13.1,49,29,,
Apr-11,992,Bear River RS,8777,20,16.5,45,31,,
May-11,992,Bear River RS,8777,26.4,17.2,41,38,,
Jun-11,992,Bear River RS,8777,30.4,0.7,3,50,,
Jul-11,992,Bear River RS,8777,31.6,0,0,57,,
Aug-11,992,Bear River RS,8777,33.3,0,0,57,,
Sep-11,992,Bear River RS,8777,35.1,0,0,47,,
Oct-11,992,Bear River RS,8777,0,0,0,38,,
Nov-11,992,Bear River RS,8777,2.3,0,0,26,,
Dec-11,992,Bear River RS,8777,4.5,1.8,9,18,,
Jan-12,992,Bear River RS,8777,5.2,2.4,14,22,,
Feb-12,992,Bear River RS,8777,6.6,3.9,20,20,,
Mar-12,992,Bear River RS,8777,8.8,6.1,33,33,,
Apr-12,992,Bear River RS,8777,10.1,1,2,37,,
May-12,992,Bear River RS,8777,11.7,0,0,44,,
Jun-12,992,Bear River RS,8777,12.7,0,0,54,,
Jul-12,992,Bear River RS,8777,12.7,0,0,58,,
Aug-12,992,Bear River RS,8777,14.7,0,0,58,,
Sep-12,992,Bear River RS,8777,15.6,0,0,49,,
Oct-12,992,Bear River RS,8777,0,0,0,38,,
Nov-12,992,Bear River RS,8777,1.5,0,0,32,,
Dec-12,992,Bear River RS,8777,3.6,1.7,6,21,,
Jan-13,992,Bear River RS,8777,6,4.1,20,17,,
Feb-13,992,Bear River RS,8777,7.1,5.1,24,18,46,-17
Mar-13,992,Bear River RS,8777,8.3,6.4,29,28,60,-14
Apr-13,992,Bear River RS,8777,9.8,6.8,17,32,61,0
May-13,992,Bear River RS,8777,13.4,1,2,43,72,7
Jun-13,992,Bear River RS,8777,14.5,0,0,54,83,23
Jul-13,992,Bear River RS,8777,14.5,0,0,59,82,40
Aug-13,992,Bear River RS,8777,17.1,0,0,56,82,37
Sep-13,992,Bear River RS,8777,18.3,0,0,47,75,17
Oct-13,992,Bear River RS,8777,0,0,0,35,66,10
Nov-13,992,Bear River RS,8777,2.5,0.6,3,29,56,2
Dec-13,992,Bear River RS,8777,3.7,1.2,6,18,52,-27
Jan-14,992,Bear River RS,8777,5.3,2.8,16,21,49,-10
Feb-14,992,Bear River RS,8777,7.2,4.7,28,25,49,-17
Mar-14,992,Bear River RS,8777,9.8,7.7,34,29,55,-7
Apr-14,992,Bear River RS,8777,12.3,10.3,28,34,60,1
May-14,992,Bear River RS,8777,14.3,0,0,45,73,15
Jun-14,992,Bear River RS,8777,15.8,0,0,50,76,25
Jul-14,992,Bear River RS,8777,16.4,0,0,59,84,28
Aug-14,992,Bear River RS,8777,17.7,0,0,53,81,31
Sep-14,992,Bear River RS,8777,21.4,0,0,50,74,21
Oct-14,992,Bear River RS,8777,0,0,0,41,66,16
Nov-14,992,Bear River RS,8777,0.7,0,0,28,62,-19
Dec-14,992,Bear River RS,8777,2.7,1.7,9,23,53,-22
Jan-15,992,Bear River RS,8777,4.1,3.1,18,26,62,-14
Feb-15,992,Bear River RS,8777,5,4.1,19,27,59,-12
Mar-15,992,Bear River RS,8777,6.4,5.5,22,33,65,-4
Apr-15,992,Bear River RS,8777,7.4,0,0,36,65,1
May-15,992,Bear River RS,8777,8.4,0,0,42,73,22
Jun-15,992,Bear River RS,8777,12.1,0,0,56,82,33
Jul-15,992,Bear River RS,8777,12.9,0,0,54,79,26
Aug-15,992,Bear River RS,8777,14,0,0,56,81,32
Sep-15,992,Bear River RS,8777,15.6,0,0,51,76,24
Oct-15,992,Bear River RS,8777,0,0,0,43,72,18
Nov-15,992,Bear River RS,8777,1,0,0,24,57,-11
Dec-15,992,Bear River RS,8777,3,1.9,12,20,52,-19
Jan-16,992,Bear River RS,8777,5.4,4.2,23,21,48,-14
Feb-16,992,Bear River RS,8777,8.3,6.8,34,26,57,-7
Mar-16,992,Bear River RS,8777,9.8,8.1,28,31,56,-3
Apr-16,992,Bear River RS,8777,12,9.3,23,36,61,7
May-16,992,Bear River RS,8777,14.4,1.1,4,42,68,21
Jun-16,992,Bear River RS,8777,18.8,0,0,56,82,28
Jul-16,992,Bear River RS,8777,19.4,0,0,59,83,27
Aug-16,992,Bear River RS,8777,19.4,0,0,55,82,29
Sep-16,992,Bear River RS,8777,20,0,0,48,75,25
Oct-16,992,Bear River RS,8777,0,0,0,42,64,14
Nov-16,992,Bear River RS,8777,1.9,0,0,32,62,-9
Dec-16,992,Bear River RS,8777,3.6,1.6,8,20,48,-23
Jan-17,992,Bear River RS,8777,6.6,4.5,21,19,51,-24
Feb-17,992,Bear River RS,8777,11.8,9.8,36,27,56,-14
Mar-17,992,Bear River RS,8777,14.9,12.5,45,34,60,-4
Apr-17,992,Bear River RS,8777,18.4,9.8,26,34,58,6
May-17,992,Bear River RS,8777,21.4,1.7,3,44,71,18
Jun-17,992,Bear River RS,8777,22.3,0,0,53,80,29
Jul-17,992,Bear River RS,8777,22.7,0,0,59,84,30
Aug-17,992,Bear River RS,8777,23.4,0,0,56,81,32
Sep-17,992,Bear River RS,8777,24.4,0,0,47,80,19
Oct-17,992,Bear River RS,8777,0,0,0,36,67,12
Nov-17,992,Bear River RS,8777,0.6,0,0,34,58,-5
Dec-17,992,Bear River RS,8777,3,1.6,5,24,56,-9
Jan-18,992,Bear River RS,8777,4.9,3.4,16,25,54,-12
Feb-18,992,Bear River RS,8777,6.9,5.4,23,21,46,-23
Mar-18,992,Bear River RS,8777,8.3,6.9,28,28,52,-10
Oct-80,329,Beaver Dams,7990,0,0,,,,
Nov-80,329,Beaver Dams,7990,3.4,1,,,,
Dec-80,329,Beaver Dams,7990,4.8,1.7,,,,
Jan-81,329,Beaver Dams,7990,5.3,1.7,,,,
Feb-81,329,Beaver Dams,7990,6.3,3.1,,,,
Mar-81,329,Beaver Dams,7990,7.3,4.1,,,,
Apr-81,329,Beaver Dams,7990,13.6,3.4,,,,
May-81,329,Beaver Dams,7990,14.9,0,,,,
Jun-81,329,Beaver Dams,7990,18.1,0,,,,
Jul-81,329,Beaver Dams,7990,19.1,0,,,,
Aug-81,329,Beaver Dams,7990,20.6,0,,,,
Sep-81,329,Beaver Dams,7990,21.6,0,,,,
Oct-81,329,Beaver Dams,7990,0,0,,,,
Nov-81,329,Beaver Dams,7990,3.7,0.6,,,,
Dec-81,329,Beaver Dams,7990,5.5,1.1,,,,
Jan-82,329,Beaver Dams,7990,10,5.2,,,,
Feb-82,329,Beaver Dams,7990,15.1,8.9,,,,
Mar-82,329,Beaver Dams,7990,17.1,11.7,,,,
Apr-82,329,Beaver Dams,7990,22.1,14.8,,,,
May-82,329,Beaver Dams,7990,22.8,5.4,,,,
Jun-82,329,Beaver Dams,7990,25,0,,,,
Jul-82,329,Beaver Dams,7990,26,0,,,,
Aug-82,329,Beaver Dams,7990,26.8,0,,,,
Sep-82,329,Beaver Dams,7990,27.7,0,,,,
Oct-82,329,Beaver Dams,7990,0,0.2,,,,
Nov-82,329,Beaver Dams,7990,3.4,0.5,,,,
Dec-82,329,Beaver Dams,7990,5.7,2.8,,,,
Jan-83,329,Beaver Dams,7990,10.1,5.8,,,,
Feb-83,329,Beaver Dams,7990,13.6,11,,,,
Mar-83,329,Beaver Dams,7990,19,14.9,,,,
Apr-83,329,Beaver Dams,7990,25.1,21.6,,,,
May-83,329,Beaver Dams,7990,29.5,22,,,,
Jun-83,329,Beaver Dams,7990,34.7,0,,,,
Jul-83,329,Beaver Dams,7990,35.1,0,,,,
Aug-83,329,Beaver Dams,7990,36.9,0,,,,
Sep-83,329,Beaver Dams,7990,40,0,,,,
Oct-83,329,Beaver Dams,7990,0,0,,,,
Nov-83,329,Beaver Dams,7990,1.5,0,,,,
Dec-83,329,Beaver Dams,7990,7.3,5,,,,
Jan-84,329,Beaver Dams,7990,18.6,13.4,,,,
Feb-84,329,Beaver Dams,7990,19.6,13.6,,,,
Mar-84,329,Beaver Dams,7990,22.8,17,,,,
Apr-84,329,Beaver Dams,7990,31.2,22.1,,,,
May-84,329,Beaver Dams,7990,38.2,24.1,,,,
Jun-84,329,Beaver Dams,7990,39.1,0,,,,
Jul-84,329,Beaver Dams,7990,41.9,0,,,,
Aug-84,329,Beaver Dams,7990,44.7,0,,,,
Sep-84,329,Beaver Dams,7990,47,0,,,,
Oct-84,329,Beaver Dams,7990,0,0,,,,
Nov-84,329,Beaver Dams,7990,4.8,1.3,,,,
Dec-84,329,Beaver Dams,7990,9.2,5.6,,,,
Jan-85,329,Beaver Dams,7990,12,8.4,,,,
Feb-85,329,Beaver Dams,7990,14.1,10.4,,,,
Mar-85,329,Beaver Dams,7990,15.8,11.9,,,,
Apr-85,329,Beaver Dams,7990,20,10.4,,,,
May-85,329,Beaver Dams,7990,23,0,,,,
Jun-85,329,Beaver Dams,7990,25.5,0,,,,
Jul-85,329,Beaver Dams,7990,25.5,0,,,,
Aug-85,329,Beaver Dams,7990,27.9,0,,,,
Sep-85,329,Beaver Dams,7990,28.4,0,,,,
Oct-85,329,Beaver Dams,7990,0,0,,,,
Nov-85,329,Beaver Dams,7990,2.1,0,,,,
Dec-85,329,Beaver Dams,7990,7.6,4.5,,,,
Jan-86,329,Beaver Dams,7990,10,6.2,,,,
Feb-86,329,Beaver Dams,7990,10.9,6.7,,,,
Mar-86,329,Beaver Dams,7990,15.2,9.6,,,,
Apr-86,329,Beaver Dams,7990,20.6,7.8,,,,
May-86,329,Beaver Dams,7990,26.2,0,,,,
