,Date,Station Id,Station Name,Elevation (ft),Precipitation Accumulation (in) Start of Month Values,Precipitation Increment (in),Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),year,month,Longitude,Latitude
118,Aug-04,907,Agua Canyon,8900,20.5,1.1,0.0,0.0,,,,2004,Aug,112.26666666666667,37.516666666666666
119,Sep-04,907,Agua Canyon,8900,21.6,2.8,0.0,0.0,,,,2004,Sep,112.26666666666667,37.516666666666666
120,Oct-04,907,Agua Canyon,8900,0.0,6.1,0.0,0.0,,,,2004,Oct,112.26666666666667,37.516666666666666
121,Nov-04,907,Agua Canyon,8900,6.1,7.4,0.8,4.0,,,,2004,Nov,112.26666666666667,37.516666666666666
122,Dec-04,907,Agua Canyon,8900,13.5,2.9,4.4,21.0,,,,2004,Dec,112.26666666666667,37.516666666666666
123,Jan-05,907,Agua Canyon,8900,16.4,7.5,7.4,35.0,,,,2005,Jan,112.26666666666667,37.516666666666666
124,Feb-05,907,Agua Canyon,8900,23.9,3.8,15.9,57.0,,,,2005,Feb,112.26666666666667,37.516666666666666
125,Mar-05,907,Agua Canyon,8900,27.7,3.3,19.9,64.0,,,,2005,Mar,112.26666666666667,37.516666666666666
126,Apr-05,907,Agua Canyon,8900,31.0,1.5,22.4,65.0,,,,2005,Apr,112.26666666666667,37.516666666666666
127,May-05,907,Agua Canyon,8900,32.5,1.1,12.8,30.0,,,,2005,May,112.26666666666667,37.516666666666666
128,Jun-05,907,Agua Canyon,8900,33.6,1.5,0.0,0.0,,,,2005,Jun,112.26666666666667,37.516666666666666
129,Jul-05,907,Agua Canyon,8900,35.1,0.4,0.0,0.0,,,,2005,Jul,112.26666666666667,37.516666666666666
130,Aug-05,907,Agua Canyon,8900,35.5,4.5,0.0,0.0,,,,2005,Aug,112.26666666666667,37.516666666666666
131,Sep-05,907,Agua Canyon,8900,40.0,0.6,0.0,0.0,,,,2005,Sep,112.26666666666667,37.516666666666666
132,Oct-05,907,Agua Canyon,8900,0.0,2.4,0.0,0.0,,,,2005,Oct,112.26666666666667,37.516666666666666
133,Nov-05,907,Agua Canyon,8900,2.4,0.2,0.0,0.0,,,,2005,Nov,112.26666666666667,37.516666666666666
134,Dec-05,907,Agua Canyon,8900,2.6,1.3,0.0,0.0,,,,2005,Dec,112.26666666666667,37.516666666666666
135,Jan-06,907,Agua Canyon,8900,3.9,1.8,1.4,7.0,,,,2006,Jan,112.26666666666667,37.516666666666666
136,Feb-06,907,Agua Canyon,8900,5.7,1.2,3.5,16.0,,,,2006,Feb,112.26666666666667,37.516666666666666
137,Mar-06,907,Agua Canyon,8900,6.9,4.4,4.8,15.0,,,,2006,Mar,112.26666666666667,37.516666666666666
138,Apr-06,907,Agua Canyon,8900,11.3,1.0,8.8,28.0,,,,2006,Apr,112.26666666666667,37.516666666666666
139,May-06,907,Agua Canyon,8900,12.3,0.3,0.0,0.0,,,,2006,May,112.26666666666667,37.516666666666666
140,Jun-06,907,Agua Canyon,8900,12.6,0.0,0.0,0.0,,,,2006,Jun,112.26666666666667,37.516666666666666
141,Jul-06,907,Agua Canyon,8900,12.6,2.8,0.0,0.0,,,,2006,Jul,112.26666666666667,37.516666666666666
142,Aug-06,907,Agua Canyon,8900,15.4,2.8,0.0,0.0,61.0,79.0,47.0,2006,Aug,112.26666666666667,37.516666666666666
143,Sep-06,907,Agua Canyon,8900,18.2,1.6,0.0,0.0,51.0,71.0,27.0,2006,Sep,112.26666666666667,37.516666666666666
144,Oct-06,907,Agua Canyon,8900,0.0,4.9,0.0,0.0,42.0,67.0,21.0,2006,Oct,112.26666666666667,37.516666666666666
145,Nov-06,907,Agua Canyon,8900,4.9,0.6,0.0,0.0,36.0,66.0,-1.0,2006,Nov,112.26666666666667,37.516666666666666
146,Dec-06,907,Agua Canyon,8900,5.5,1.8,0.5,3.0,29.0,53.0,7.0,2006,Dec,112.26666666666667,37.516666666666666
147,Jan-07,907,Agua Canyon,8900,7.3,0.7,2.7,12.0,25.0,53.0,-8.0,2007,Jan,112.26666666666667,37.516666666666666
148,Feb-07,907,Agua Canyon,8900,8.0,1.2,3.8,17.0,30.0,54.0,6.0,2007,Feb,112.26666666666667,37.516666666666666
149,Mar-07,907,Agua Canyon,8900,9.2,0.8,5.4,24.0,38.0,66.0,7.0,2007,Mar,112.26666666666667,37.516666666666666
150,Apr-07,907,Agua Canyon,8900,10.0,1.4,0.0,0.0,41.0,70.0,17.0,2007,Apr,112.26666666666667,37.516666666666666
151,May-07,907,Agua Canyon,8900,11.4,0.5,0.0,0.0,51.0,74.0,22.0,2007,May,112.26666666666667,37.516666666666666
152,Jun-07,907,Agua Canyon,8900,11.9,0.0,0.0,0.0,62.0,85.0,29.0,2007,Jun,112.26666666666667,37.516666666666666
153,Jul-07,907,Agua Canyon,8900,11.9,1.6,0.0,0.0,66.0,88.0,51.0,2007,Jul,112.26666666666667,37.516666666666666
154,Aug-07,907,Agua Canyon,8900,13.5,3.1,0.0,0.0,63.0,84.0,47.0,2007,Aug,112.26666666666667,37.516666666666666
155,Sep-07,907,Agua Canyon,8900,16.6,2.8,0.0,0.0,54.0,78.0,26.0,2007,Sep,112.26666666666667,37.516666666666666
156,Oct-07,907,Agua Canyon,8900,0.0,0.8,0.0,0.0,44.0,66.0,20.0,2007,Oct,112.26666666666667,37.516666666666666
157,Nov-07,907,Agua Canyon,8900,0.8,0.9,0.0,0.0,40.0,63.0,14.0,2007,Nov,112.26666666666667,37.516666666666666
158,Dec-07,907,Agua Canyon,8900,1.7,2.4,1.2,10.0,24.0,60.0,1.0,2007,Dec,112.26666666666667,37.516666666666666
159,Jan-08,907,Agua Canyon,8900,4.1,5.8,3.8,18.0,22.0,45.0,-4.0,2008,Jan,112.26666666666667,37.516666666666666
160,Feb-08,907,Agua Canyon,8900,9.9,2.3,10.6,45.0,28.0,56.0,6.0,2008,Feb,112.26666666666667,37.516666666666666
161,Mar-08,907,Agua Canyon,8900,12.2,1.2,13.3,43.0,33.0,55.0,9.0,2008,Mar,112.26666666666667,37.516666666666666
162,Apr-08,907,Agua Canyon,8900,13.4,0.3,10.2,27.0,39.0,64.0,15.0,2008,Apr,112.26666666666667,37.516666666666666
163,May-08,907,Agua Canyon,8900,13.7,0.5,0.0,0.0,45.0,77.0,16.0,2008,May,112.26666666666667,37.516666666666666
164,Jun-08,907,Agua Canyon,8900,14.2,0.5,0.0,0.0,59.0,81.0,30.0,2008,Jun,112.26666666666667,37.516666666666666
165,Jul-08,907,Agua Canyon,8900,14.7,2.0,0.0,0.0,64.0,85.0,50.0,2008,Jul,112.26666666666667,37.516666666666666
166,Aug-08,907,Agua Canyon,8900,16.7,1.7,0.0,0.0,63.0,84.0,48.0,2008,Aug,112.26666666666667,37.516666666666666
167,Sep-08,907,Agua Canyon,8900,18.4,0.2,0.0,0.0,56.0,77.0,38.0,2008,Sep,112.26666666666667,37.516666666666666
168,Oct-08,907,Agua Canyon,8900,0.0,0.6,0.0,0.0,46.0,70.0,15.0,2008,Oct,112.26666666666667,37.516666666666666
169,Nov-08,907,Agua Canyon,8900,0.6,1.7,0.0,0.0,37.0,60.0,17.0,2008,Nov,112.26666666666667,37.516666666666666
170,Dec-08,907,Agua Canyon,8900,2.3,4.7,0.9,4.0,27.0,56.0,1.0,2008,Dec,112.26666666666667,37.516666666666666
171,Jan-09,907,Agua Canyon,8900,7.0,0.9,7.2,27.0,31.0,54.0,4.0,2009,Jan,112.26666666666667,37.516666666666666
172,Feb-09,907,Agua Canyon,8900,7.9,2.5,7.2,22.0,29.0,52.0,10.0,2009,Feb,112.26666666666667,37.516666666666666
173,Mar-09,907,Agua Canyon,8900,10.4,1.4,9.1,27.0,34.0,58.0,8.0,2009,Mar,112.26666666666667,37.516666666666666
174,Apr-09,907,Agua Canyon,8900,11.8,1.4,0.0,0.0,38.0,67.0,14.0,2009,Apr,112.26666666666667,37.516666666666666
175,May-09,907,Agua Canyon,8900,13.2,1.1,0.0,0.0,53.0,77.0,36.0,2009,May,112.26666666666667,37.516666666666666
176,Jun-09,907,Agua Canyon,8900,14.3,0.9,0.0,0.0,54.0,78.0,34.0,2009,Jun,112.26666666666667,37.516666666666666
177,Jul-09,907,Agua Canyon,8900,15.2,1.2,0.0,0.0,65.0,87.0,49.0,2009,Jul,112.26666666666667,37.516666666666666
178,Aug-09,907,Agua Canyon,8900,16.4,0.4,0.0,0.0,62.0,80.0,45.0,2009,Aug,112.26666666666667,37.516666666666666
179,Sep-09,907,Agua Canyon,8900,16.8,0.5,0.0,0.0,56.0,76.0,26.0,2009,Sep,112.26666666666667,37.516666666666666
180,Oct-09,907,Agua Canyon,8900,0.0,0.2,0.0,0.0,40.0,66.0,13.0,2009,Oct,112.26666666666667,37.516666666666666
181,Nov-09,907,Agua Canyon,8900,0.2,0.7,0.0,0.0,38.0,63.0,9.0,2009,Nov,112.26666666666667,37.516666666666666
182,Dec-09,907,Agua Canyon,8900,0.9,3.5,0.3,3.0,24.0,49.0,2.0,2009,Dec,112.26666666666667,37.516666666666666
183,Jan-10,907,Agua Canyon,8900,4.4,5.3,4.6,21.0,29.0,49.0,12.0,2010,Jan,112.26666666666667,37.516666666666666
184,Feb-10,907,Agua Canyon,8900,9.7,2.1,10.7,45.0,27.0,44.0,8.0,2010,Feb,112.26666666666667,37.516666666666666
185,Mar-10,907,Agua Canyon,8900,11.8,2.9,12.5,43.0,31.0,54.0,12.0,2010,Mar,112.26666666666667,37.516666666666666
186,Apr-10,907,Agua Canyon,8900,14.7,1.2,13.8,39.0,37.0,61.0,12.0,2010,Apr,112.26666666666667,37.516666666666666
187,May-10,907,Agua Canyon,8900,15.9,1.1,0.2,1.0,43.0,67.0,22.0,2010,May,112.26666666666667,37.516666666666666
188,Jun-10,907,Agua Canyon,8900,17.0,0.5,0.0,0.0,59.0,82.0,35.0,2010,Jun,112.26666666666667,37.516666666666666
189,Jul-10,907,Agua Canyon,8900,17.5,4.4,0.0,0.0,64.0,84.0,48.0,2010,Jul,112.26666666666667,37.516666666666666
190,Aug-10,907,Agua Canyon,8900,21.9,1.8,0.0,0.0,60.0,79.0,42.0,2010,Aug,112.26666666666667,37.516666666666666
191,Sep-10,907,Agua Canyon,8900,23.7,0.4,0.0,0.0,59.0,78.0,37.0,2010,Sep,112.26666666666667,37.516666666666666
192,Oct-10,907,Agua Canyon,8900,0.0,5.1,0.0,0.0,44.0,75.0,18.0,2010,Oct,112.26666666666667,37.516666666666666
193,Nov-10,907,Agua Canyon,8900,5.1,1.7,0.0,0.0,31.0,62.0,1.0,2010,Nov,112.26666666666667,37.516666666666666
194,Dec-10,907,Agua Canyon,8900,6.8,7.5,1.7,9.0,31.0,57.0,-5.0,2010,Dec,112.26666666666667,37.516666666666666
195,Jan-11,907,Agua Canyon,8900,14.3,0.0,9.5,40.0,29.0,52.0,-5.0,2011,Jan,112.26666666666667,37.516666666666666
196,Feb-11,907,Agua Canyon,8900,14.3,4.0,9.5,31.0,25.0,55.0,-11.0,2011,Feb,112.26666666666667,37.516666666666666
197,Mar-11,907,Agua Canyon,8900,18.3,1.7,13.9,55.0,34.0,54.0,12.0,2011,Mar,112.26666666666667,37.516666666666666
198,Apr-11,907,Agua Canyon,8900,20.0,2.5,14.3,38.0,37.0,65.0,15.0,2011,Apr,112.26666666666667,37.516666666666666
199,May-11,907,Agua Canyon,8900,22.5,1.9,0.1,1.0,44.0,67.0,18.0,2011,May,112.26666666666667,37.516666666666666
200,Jun-11,907,Agua Canyon,8900,24.4,0.7,0.0,0.0,57.0,79.0,33.0,2011,Jun,112.26666666666667,37.516666666666666
201,Jul-11,907,Agua Canyon,8900,25.1,2.2,0.0,0.0,62.0,83.0,48.0,2011,Jul,112.26666666666667,37.516666666666666
202,Aug-11,907,Agua Canyon,8900,27.3,1.5,0.0,0.0,64.0,83.0,49.0,2011,Aug,112.26666666666667,37.516666666666666
203,Sep-11,907,Agua Canyon,8900,28.8,1.3,0.0,0.0,56.0,75.0,41.0,2011,Sep,112.26666666666667,37.516666666666666
204,Oct-11,907,Agua Canyon,8900,0.0,1.7,0.0,0.0,45.0,69.0,20.0,2011,Oct,112.26666666666667,37.516666666666666
205,Nov-11,907,Agua Canyon,8900,1.7,0.9,0.0,0.0,33.0,56.0,15.0,2011,Nov,112.26666666666667,37.516666666666666
206,Dec-11,907,Agua Canyon,8900,2.6,2.5,0.0,0.0,27.0,52.0,4.0,2011,Dec,112.26666666666667,37.516666666666666
207,Jan-12,907,Agua Canyon,8900,5.1,1.1,2.9,13.0,32.0,55.0,13.0,2012,Jan,112.26666666666667,37.516666666666666
208,Feb-12,907,Agua Canyon,8900,6.2,1.5,4.2,19.0,27.0,51.0,10.0,2012,Feb,112.26666666666667,37.516666666666666
209,Mar-12,907,Agua Canyon,8900,7.7,1.4,6.1,27.0,36.0,60.0,7.0,2012,Mar,112.26666666666667,37.516666666666666
210,Apr-12,907,Agua Canyon,8900,9.1,0.9,0.0,0.0,42.0,70.0,17.0,2012,Apr,112.26666666666667,37.516666666666666
